mngentity,"""Mission Statement"" ",Stated mission statement?,Primary Objective,Other Objective 1,Other Objective 2,Sub Org of,Source,Flag,Notes
NGO_NGO_Mountains Restoration Trust,"Mountains Restoration Trust (MRT) is committed to working in partnership with the community to preserve, protect, and enhance the natural resources of the Santa Monica Mountains for the benefit of the environment and for present and future generations through land acquisition and conservation easements; habitat preservation and restoration; and research and education.",Yes,Open space,Wildlife habitat,Cultural,,https://www.calandtrusts.org/members/mountains-restoration-trust/,,
NGO_NGO_Nature Trust of the Santa Monica Mountains,"The Nature Trust is committed to protecting natural areas of the Santa Monica Mountains for habitat conservation, nature based education and outdoor recreation.",Yes,Wildlife habitat,Recreation/parks/Trails/greenways,,,https://www.volunteermatch.org/search/org27837.jsp,Yes,Mission statement not from website but from a database of organizations
NGO_NGO_Nonprofit Organization - Unknown,,,,,,,,Yes,N/A organization
NGO_NGO_North Star Historic Conservancy,"To restore and sustain Julia Morgan’s historic North Star House through partnerships with volunteers, community organizations, government entities and businesses.",Yes,Cultural,,,,https://thenorthstarhouse.org/mission-vision-and-goals/,,
NGO_NGO_Northcoast Regional Land Trust,"The Northcoast Regional Land Trust is dedicated to the protection and economic viability of working landscapes, farms, forests and grazing lands, and to the preservation and protection of land for its natural, educational, scenic and historic values. We work with landowners on a voluntary basis to promote stewardship of Northern California’s healthy and productive resource base, natural systems and quality of life.",Yes,Open space,Farmland/ranchlands,Forest,,https://www.calandtrusts.org/members/northcoast-regional-land-trust/,,
NGO_NGO_Odd Fellows Sierra Recreation Association,,,,,,,,Yes,Organization could not be found
NGO_NGO_Off the Leash,,No,Other,,,,https://www.offleashsocal.com/about,Yes,Not sure if this is the right organization but couldn't find anything for the local name listed.
NGO_NGO_Pasadena Cemetery Association,,No,Cultural,,,,https://www.imortuary.com/funeral-homes/california/altadena/pasadena-cemetery-association/,,
NGO_NGO_Quail Ridge Wilderness Conservancy,,No,Wildlife habitat,Cultural,,,http://members.dcn.org/quailrid/,,
NGO_NGO_Rancho Santa Fe Community Foundation,"To connect donors with regional and global needs through visionary community leadership, personalized service and effective grantmaking.",Yes,Cultural,,,,https://rsffoundation.org/about-us/,,
NGO_NGO_Roosevelt Memorial Park Association,,No,Cultural,,,,"https://www.causeiq.com/organizations/roosevelt-memorial-park-association,951161720/",,
NGO_NGO_Russian Riverkeeper,to Inspire the Community to Protect the Russian River Forever.,Yes,Watershed protection,Recreation/parks/Trails/greenways,,,https://russianriverkeeper.org/about-2/,,
NGO_NGO_San Diego Audubon Society,"The mission of San Diego Audubon Society is to foster the protection and appreciation of birds, other wildlife, and their habitats, through education and study, and advocate for a cleaner, healthier environment",Yes,Wildlife habitat,Cultural,,,https://www.sandiegoaudubon.org/who-we-are/mission.html,,
NGO_NGO_San Diego Habitat Conservancy,To conserve and manage sensitive habitats and species while inspiring land stewardship through education and outreach.,Yes,Wildlife habitat,Cultural,,,https://www.sdhabitat.org/index.html,,
NGO_NGO_San Diego Humane Society and SPCA,"Create a more humane world by inspiring compassion, providing hope and advancing the welfare of animals and people.",Yes,Cultural,,,,https://www.sdhumane.org/about-us/,,
NGO_NGO_San Diego Zoo Global,San Diego Zoo Wildlife Alliance is committed to saving species worldwide by uniting our expertise in animal care and conservation science with our dedication to inspiring passion for nature.,Yes,Wildlife habitat,Cultural,Recreation/parks/Trails/greenways,,https://sandiegozoowildlifealliance.org/about-us/about-san-diego-zoo-wildlife-alliance,Yes ,Rebranded
NGO_NGO_San Dieguito River Valley Land Conservancy,,,,,,,,Yes,"Couldn't find organization, not sure if they changed name"
NGO_NGO_San Elijo Lagoon Conservancy,"The conservancy’s mission since 1987 is to protect and restore the resources of San Elijo Lagoon, its watershed, and related ecosystems for all generations. ",Yes,Watershed protection,,,,http://delsolmagazine.com/2015/05/01/san-elijo-lagoon/,,
NGO_NGO_San Gabriel Cemetery Association,,No,Cultural,,,,https://sangabrielcemetery.com/about-us/,Yes,website with many organization mission statements but need to have an account to have access it seems: https://www.guidestar.org/profile/95-1186600
NGO_NGO_San Joaquin River Parkway and Conservation Trust,"The San Joaquin River Parkway and Conservation Trust's mission is to preserve and restore San Joaquin River lands of ecological, scenic or historic significance, to educate the public on the need for stewardship, to research issues affecting the river, and to promote educational, recreational and agricultural uses of the river bottom consistent with the protection of the river’s resources.",Yes,Watershed protection,Recreation/parks/Trails/greenways,Cultural,,https://www.riverparkway.org/about-us/mission-and-history,,
NGO_NGO_Santa Barbara Trust for Historic Preservation,The Santa Barbara Trust for Historic Preservation stewards the past and present of the Presidio Neighborhood and inspires preservation advocacy throughout the County in order to create a more vibrant community.,Yes,Cultural,,,,https://www.sbthp.org/about,,
NGO_NGO_Santa Lucia Conservancy,"The Santa Lucia Conservancy is dedicated to the stewardship of the unique natural resources of the Santa Lucia Preserve and to promoting human settlements that are ecologically sensitive. It is our goal to advance understanding of the interfaces between human residences and natural environments to benefit our community and society at large. Using the vast natural laboratory of our 20,000 acre Preserve, we work collaboratively on resource management, education and research to support and test this model of environmentally compatible human settlement.",Yes,Wildlife habitat,Cultural,,,https://slconservancy.org/mission-vision-and-values/,,
NGO_NGO_Sempervirens Fund,"Sempervirens Fund’s mission is to protect and permanently preserve redwood (Sequoia sempervirens) forests, wildlife habitat, watersheds, and other important natural and scenic features of California’s Santa Cruz Mountains, and to encourage public appreciation and enjoyment of this environment.",Yes,Forest,Wildlife habitat,Recreation/parks/Trails/greenways,,https://sempervirens.org/about/,,
NGO_NGO_Sequoia Audubon Society,"Sequoia Audubon Society protects native birds and other wildlife and their ecosystems in San Mateo County by engaging people of all ages in conservation, education, advocacy and enjoyment.",Yes,Wildlife habitat,Recreation/parks/Trails/greenways,Cultural,,http://www.sequoia-audubon.org/newsletters/Newsletter_July-September_2020.pdf,,
NGO_NGO_Serra Cross Conservancy,,,,,,,https://www.guidestar.org/profile/20-8615264,Yes,Couldn't find a website but the guidestar website seems to have a mission statement
NGO_NGO_Shasta Land Trust,"To conserve the beauty, character, and diversity of significant lands in Northern California.",Yes,Wildlife habitat,Recreation/parks/Trails/greenways,Cultural,,https://www.shastalandtrust.org/what-we-do,,
NGO_NGO_Sierra Historic Sites Association,"The specific and primary mission of the association is to preserve, acquire and display artifacts, art objects and other items of significance from Central Sierra foothill history. ",Yes,Cultural,,,,https://fresnoflatsmuseum.org/our-mission/,,
NGO_NGO_Sierra Madre Cemetery Association,"PERPETUAL UPKEEP AND MAINTENANCE OF CEMETERY GROUNDS, AND SALE OF CEMETERY PLOTS.",Yes,Cultural,,,,https://www.open990.org/org/956141275/sierra-madre-pioneer-cemetery-association/,,
NGO_NGO_Siskiyou Land Trust,"The Siskiyou Land Trust is dedicated to long-term stewardship of agricultural, forest and wildlands in Siskiyou County by working with willing landowners, agencies and organizations.",Yes,Farmland/ranchlands,Forest,Open space,,https://www.siskiyoulandtrust.org/about-us/,,
NGO_NGO_Stanford University,"to extend the frontiers of knowledge, stimulate creativity, and solve real-world problems, prepare students to think broadly, deeply and critically, and to contribute to the world, and deploy Stanford’s strengths to benefit our region, country, and world.”",Yes,Cultural,,,,https://mission-statement.com/stanford/,,
NGO_NGO_Stewards of the Coast and Redwoods,"Stewards’ mission is to promote education, preservation, and restoration of the natural and cultural resources of Armstrong Redwoods State Reserve, Austin Creek State Recreation Area, and Sonoma Coast State Beach including the Willow Creek watershed.",Yes,Recreation/parks/Trails/greenways,Watershed protection,Forest,,https://www.parks.ca.gov/?page_id=22291,,
NGO_NGO_Tejon Ranch Conservancy,"Working to protect, enhance and restore the native biodiversity and ecosystem values of Tejon Ranch and Tehachapi Range for the benefit of California’s future generations.",Yes,Wildlife habitat,Cultural,,,https://www.tejonconservancy.org/mission,,
NGO_NGO_The Collaborative Eagle Rock Beautiful,"The Collaborative Eagle Rock Beautiful engages neighbors, groups, and businesses to work together to add value to the community, by planting, preserving, and beautifying our environment.",Yes,Open space,Cultural,Recreation/parks/Trails/greenways,,https://www.cerb.us/about-us,,
NGO_NGO_The Conservation Fund - California,"The Conservation Fund, working with public, private and nonprofit partners, protects America’s legacy of land and water resources through land acquisition, sustainable community and economic development, and leadership training, emphasizing the integration of economic and environmental goals.",Yes,Cultural,Open space,Watershed protection,,https://www.conservationfund.org/about-us,,
NGO_NGO_The Environmental Trust,,,,,,,https://www.guidestar.org/profile/94-2997670,Yes,Not sure if this organization still exists
NGO_NGO_The Habitat Trust,The mission of the Trust is to create and conserve sustainable ecosystems through strategic partnerships and collaborations with stakeholders at every level.,Yes,Wildlife habitat,,,,https://www.thehabitatstrust.org/,,
NGO_NGO_The Humane Society Wildlife Land Trust,,No,Wildlife habitat,,,,https://www.humanesociety.org/resources/about-wildlife-land-trust,,
NGO_NGO_The Old Mill Foundation,"The Old Mill Foundation’s over-arching purpose is to maintain, preserve and operate The Old Mill. As a part of that mission, the OMF develops and creates many artistic, educational and community programs at The Old Mill.",Yes,Cultural,,,,https://www.old-mill.org/who-we-are,,
NGO_NGO_Tierra Miguel Foundation and Farm,,No,Farmland/ranchlands,,,,https://www.guidestar.org/profile/33-0900911,,
NGO_NGO_Trinidad Coastal Land Trust,Dedicated to providing coastal access while protecting the natural beauty and character of the Humboldt County Coast from Little River to Big Lagoon.,Yes,Open space,Watershed protection,Recreation/parks/Trails/greenways,,https://www.trinidadcoastallandtrust.org/,,
NGO_NGO_Tulare County Historical Society,Our mission is to promote interest in the history of Tulare County and preserve the heritage of our area for future generations.,Yes,Cultural,,,,http://www.tularecountyhistoricalsociety.org/,,
NGO_NGO_Tuleyome,"Tuleyome engages in advocacy and active stewardship with diverse communities to conserve, enhance, restore, and enjoy the lands in the region.",Yes,Open space,Wildlife habitat,Recreation/parks/Trails/greenways,,http://www.tuleyome.org/full-story/,,
NGO_NGO_Tuolumne County Land Trust," It is the mission of the Tuolumne County Land Trust to perpetuate this area's important landscape values, including agricultural, scenic, natural, cultural, and recreational lands.",Yes,Open space,Farmland/ranchlands,Cultural,,http://www.tuolumnecountylandtrust.org/,,
NGO_NGO_Unknown NGO,,,,,,,,Yes,N/A organization
NGO_NGO_Volcan Mountain Preserve Foundation,"The mission of the Volcan Mountain Foundation (VMF) is to strive with intention to conserve and acquire land and practice respectful stewardship through education, public outreach, and resource management to preserve Volcan Mountain in its natural state for future generations.",Yes,Wildlife habitat,Cultural,Open space,,https://www.volcanmt.org/mission-vision-goals,,
NGO_NGO_Watsonville Wetlands Watch,"Watsonville Wetlands Watch is dedicated to the protection, restoration, and fostering of appreciation of the wetlands of the Pajaro Valley, especially involving members of the Watsonville community and the students of the Pajaro Valley Unified School District.",Yes,Watershed protection,Cultural,Recreation/parks/Trails/greenways,,https://www.watsonvillewetlandswatch.org/overview-of-watsonville-wetlands-watch,,
NGO_NGO_Westport Village Society,"The Westport Village Society, Inc. is a nonprofit public benefit 501 (c)(3) corporation organized in 1992 to foster the preservation, enhancement, and interpretation of the natural environment in and around the village of Westport for the benefit of residents and visitors and to support local charitable and educational projects. The Society currently owns and manages a nine acre oceanfront property, Westport Headlands, in the center of the community.",Yes,Cultural,,,,https://www.westportvillagesociety.org/,,
NGO_NGO_YMCA of Southeast - Rio Vista,"We are for:

Youth Development, Healthy Living & Social Responsibility.",Yes,Cultural,,,,https://www.volunteermatch.org/search/org628267.jsp,Yes,Mission statement not from website but from a database of organizations
PVT_PVT_4-S Ranch Masters Association,Delivering unsurpassed management and lifestyle services to communities worldwide.,Yes,Other,,,,https://www.associaonline.com/why-associa/4s-ranch-master-association-case-study,,
PVT_PVT_Alga Hills Homeowners Association,,No,Cultural,,,,https://opencorporates.com/companies/us_ca/C1646092,,
PVT_PVT_American Golf,"To promote the game of golf through charity, education and community service.",Yes,Recreation/parks/Trails/greenways,Cultural,,,https://www.americangolffoundation.org/docs/AGF-Brochure.pdf,Yes,Sport
PVT_PVT_Amerige Heights Community Association,,No,Cultural,,,,http://amerigeheights.org/,,
PVT_PVT_Arroyo Maintenance Corporation,,No,Cultural,,,,https://arroyomaintcorp.com/,,
PVT_PVT_Aviara Master Association,,No,Cultural,,,,https://aviaramasterassociation.com/,,
PVT_PVT_Aviara Premier Collection Association,,No,Cultural,,,,https://aviarapremier.net/,,
PVT_PVT_Bay Club,"To be able to provide the means and motivation for people of all ages, shapes and sizes to get as fit as they can.",Yes,Cultural,,,,https://www.zippia.com/the-bay-club-company-careers-52367/,Yes,Mission statement not from website but from a database of organizations
PVT_PVT_Big League Dreams,Fulfilling Big League Dreams one day at a time.,Yes,Recreation/parks/Trails/greenways,,,,https://www.zippia.com/big-league-dreams-careers-16799/,Yes,Mission statement not from website but from a database of organizations
PVT_PVT_Black Mountain Ranch,,No,Recreation/parks/Trails/greenways,,,,https://blackmtnranch.com/,,
PVT_PVT_Bonita Canyon Maintenance Association,,No,Cultural,,,,http://www.progressivecm.com/bonitaCyn/index.html,,
PVT_PVT_Brickell Enterprises,,,,,,,,Yes,Website doesn’t work 
PVT_PVT_Briosa Owners Association,,No,Cultural,,,,https://apmassoc.net/briosa/,,
PVT_PVT_Broadmoor Campus View Community Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=682259,,
PVT_PVT_Broadmoor Sea View Community Association,,No,Cultural,,,,https://www.broadmoorseaview.com/,,
PVT_PVT_CZ Master Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1210847,,
PVT_PVT_Cabrillo Power,,No,Energy ,,,,https://www.nrg.com/home.html,,
PVT_PVT_Calavera Hills Master Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=2043962,,
PVT_PVT_Cantamar Homeowners' Association,,No,Cultural,,,,https://cantamarhoa.org/,,
PVT_PVT_Canyon Creek Homeowners Association,,No,Cultural,,,,https://canyoncreek.net/,,
PVT_PVT_Canyon Estates Homeowners Association,,No,Cultural,,,,https://canyonestates.com/,,
PVT_PVT_Cape at Calavera Hills Homeowners Association,,No,Cultural,,,,https://thecapeatcalaverahills.org/,,
PVT_PVT_Carlsbad Airport Centre Homeowners Association,,No,Cultural,,,,https://www.charitynavigator.org/ein/330174421,,
PVT_PVT_Carlsbad Arroyo Vista Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=2285741,,
PVT_PVT_Carlsbad Canterbury Association,,No,Cultural,,,,http://www.carlsbadcanterburyhoa.com/0,,
PVT_PVT_Carlsbad Meadows Homeowners Association,,No,Cultural,,,,https://hoa-community.com/carlsbad-meadows-hoa-carlsbad-ca/,,
PVT_PVT_Carlsbad Ranch Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=2005065,,
PVT_PVT_Centurion Artesian Trails Corporation,,,,,,,,Yes,Could not find organization
PVT_PVT_Chevron Corporation,,No,Energy ,,,,https://www.chevron.com/,,
PVT_PVT_Cielo Homeowners Association,,No,Cultural,,,,https://www.cielo-hoa.com/vision/,,
PVT_PVT_Cliffs at Calavera Hills Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=2172730,,
PVT_PVT_Colinas De Oro Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1308680,,
PVT_PVT_Colony Club Community Association,,No,Cultural,,,,http://www.colonyirvine.com/home.htm,,
PVT_PVT_Colony at Calavera Hills Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1082093,,
PVT_PVT_Conservation Development Properties,,,,,,,,Yes,Could not find organization
PVT_PVT_Continental Residential,,No,Cultural,,,,https://www.cproperties.com/who-we-are/our-culture,Yes,Not sure if this is the right organization and changed name from Contintental Residential to Continental Properties
PVT_PVT_Continuing Life Communities,,No,Cultural,,,,https://continuinglife.com/,,
PVT_PVT_Costco Wholesale Corporation, to continually provide our members with quality goods and services at the lowest possible prices.,Yes,Other,,,,https://customerservice.costco.com/app/answers/detail/a_id/829/~/what-is-costcos-mission-statement-and-code-of-ethics%3F,Yes,I don't know what this objective is and isn't community-related so I don't want to put Cultural
PVT_PVT_Cristalla Homeowners Association,,No,Cultural,,,,https://cristalla.org/,,
PVT_PVT_Crystal Cove Community Association,,No,Cultural,,,,https://www.manta.com/c/mtx2hf7/crystal-cove-community-association,,
PVT_PVT_Culverdale Community Association,,No,Cultural,,,,https://projects.propublica.org/nonprofits/organizations/952675930,,
PVT_PVT_Daybreak Community Church,,No,Cultural,,,,https://www.daybreakairdrie.com/,,
PVT_PVT_Deerfield Community Association,"To better unite our neighborhood, by working together for an improved quality of life, and to maintain our beautiful surroundings for the mutual enjoyment of all who live here.",Yes,Cultural,Recreation/parks/Trails/greenways,,,https://www.dbica.com/,,
PVT_PVT_Del Webb,,No,Cultural,,,,https://www.delwebb.com/Best-Retirement-Living,Yes,"Not sure how this organization ties into co-management, or are its headquarters in CA?"
PVT_PVT_Eastbluff Homeowners Community Association,,No,Cultural,,,,http://www.eastbluff.net/AboutUs.html,,
PVT_PVT_Encantada Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=2227481,,
PVT_PVT_Foss Lake Conservation LP,,No,Watershed protection,Wildlife habitat,,,https://sdmmp.com/view_preserve.php?preserveid=1661,,
PVT_PVT_Golden Rain Foundation of Laguna Woods,,No,Cultural,,,,https://www.lagunawoodsvillage.com/residents/golden-rain-foundation,,
PVT_PVT_GraniteRock,,No,Other,,,,https://www.graniterock.com/about-us/about,Yes,"Construction, not cultural since not related to a specific community"
PVT_PVT_Green Valley Homeowners Recreation Association,,No,Cultural,,,,http://www.gvhra.com/,,
PVT_PVT_Greentree Homes Association,,No,Cultural,,,,https://www.greentreehoa.com/,,
"PVT_PVT_Habitat Restoration Sciences, Inc.",,No,Wildlife habitat,,,,http://hrsrestoration.com/,,
PVT_PVT_Harvard Square Maintenance Association,,No,Cultural,,,,https://harvardsquarehoa.com/,,
PVT_PVT_Helix Environmental Planning,,No,Wildlife habitat,Watershed protection,Cultural,,https://www.helixepi.com/about-us/,,
PVT_PVT_Heritage Park Community Association,,No,Cultural,,,,https://www.hpoa.biz/,,
PVT_PVT_Home Owners Association - Unknown Name,,,,,,,,Yes,N/A organization
PVT_PVT_JC Resorts,"• Provide an exceptional experience for
every guest
• Take pride in the exemplary training
and equitable treatment of each of our
employees
• Maintain and enhance the investment
• Partner with our communities
• Drive growth in stakeholder value
• Bring passion, integrity and dedication
to everything we do",Yes,Other,,,,https://jcresorts.com/B2B_Company_Profile.php#,Yes,Not sure what primary objective this fits 
PVT_PVT_Jasmine Creek Community Association,,No,Cultural,,,,https://jasminecreek.org/,,
PVT_PVT_Johnson Ranch Community Association,"
To be recognized by the residents as an outstanding place to live. To provide excellent planned community living with beautifully well-maintained neighborhoods. To make decisions in the best interest of the Johnson Ranch community in the most effective and responsible manner possible with the resources available.
",Yes,Cultural,,,,https://www.johnsonranch.com/home/,,
PVT_PVT_Kelly Ranch Corporate Center,,,,,,,,Yes,Could not find organization
PVT_PVT_Knolls of Calavera Hills Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1528844,,
PVT_PVT_Kozicki Family Community Property Trust,,,,,,,https://www.leagle.com/decision/incaco20090224033,Yes,"No organization found, but seems like it was in a court case"
PVT_PVT_L F Maintenance Corporation,,No,Cultural,,,,https://lfmaintenance.connectresident.com/,,
PVT_PVT_LNR Kearny Mesa,,,,,,,,Yes,Could not find organization
PVT_PVT_La Costa Oaks Community Association,,No,Cultural,,,,https://lacostaoakshoa.org/,,
PVT_PVT_La Costa Valley Master Association,,No,Cultural,,,,https://lacostavalleyhoa.com/,,
PVT_PVT_Laguna Niguel Rolling Hills Community Association,,No,Cultural,,,,http://www.rollinghillsfyi.com/,,
PVT_PVT_Laguna Village Owners Association Inc,,No,Cultural,,,,https://www.dnb.com/business-directory/company-profiles.laguna_village_owners_association_inc.5ad27df6a69139ebc177651786e9b7bc.html,,
PVT_PVT_Lake Mission Viejo Association,,No,Recreation/parks/Trails/greenways,Watershed protection,,,https://www.lakemissionviejo.org/,,
PVT_PVT_Lakeshore Homes Association,,No,Cultural,,,,https://lakeshorehomes.net/,,
PVT_PVT_Land Wrights,,,,,,,,Yes,Could not find organization
PVT_PVT_Los Angeles Golf Club,,No,Recreation/parks/Trails/greenways,,,,https://www.thelacc.org/,,
PVT_PVT_Los Ranchos Community Association,,No,Cultural,,,,https://www.losranchoshoa.com/,,
PVT_PVT_MS Rialto the Lakes CA,,,,,,,,Yes,Could not find organization
PVT_PVT_Marbrisa Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=2033340,,
PVT_PVT_Mare Island Historic Park Foundation,"Our Mission is to collect, preserve and interpret the history of Mare Island Naval Shipyard, and to present exhibits and programs that explore, educate and celebrate the diverse military and cultural aspects of the base.",Yes,Cultural,,,,http://www.mareislandmuseum.org/about_x404/mare-island-historic-park-foundation/,,
PVT_PVT_Marea at Aviara Homeowners Association,,No,Cultural,,,,https://opencorporates.com/companies/us_ca/C1908945,,
PVT_PVT_Morning Ridge Homeowners Association,,No,Cultural,,,,https://homeownerscalifornia.com/morning-ridge-homeowners-association-carlsbad-ca/,,
PVT_PVT_Moulton Ranch III Homeowners Association,,No,Cultural,,,,http://moultonranch3.com/,,
PVT_PVT_Murphy Howard Trust,,,,,,,,Yes,Could not find organization
PVT_PVT_Nellie Gail Ranch Owners Association,,No,Cultural,Recreation/parks/Trails/greenways,,,https://nelliegailranch.org/,,
PVT_PVT_Newport Coast Community Association,,No,Cultural,,,,"https://www.causeiq.com/organizations/newport-coast-community-association,330482142/#:~:text=Newport%20Coast%20Community%20Association%20is,by%20members%20and%20the%20public.",,
PVT_PVT_Newport Ridge North Maintenance Association,,,,,,,,Yes,Could not find organization
PVT_PVT_Northpark Maintenance Association,,,,,,,,Yes,Could not find organization
PVT_PVT_Northpark Square Maintenance Association,,No,Cultural,,,,https://start.cortera.com/company/research/m1o4jyk6j/northpark-square-maintenance-association/,,
PVT_PVT_Oak Creek Village Maintenance Association,,No,Cultural,,,,"https://www.causeiq.com/organizations/oak-creek-village-maintenance-association-hoa,330833024/#:~:text=Oak%20Creek%20Village%20Maintenance%20Association%20is%20a%20housing%20owners%2C%20renters,to%20foster%20the%20community%20welfare.",,
PVT_PVT_Painted Trails Community Association,,No,Cultural,,,,http://www.paintedtrailshoa.org/0,,
PVT_PVT_Palm Gardens Community Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=632986,,
PVT_PVT_Paloma del Sol Homeowners Association,,No,Cultural,,,,https://www.dnb.com/business-directory/company-profiles.paloma_del_sol_association.eed043f564999eb40df60f7719690f71.html,,
PVT_PVT_Palomar Oaks Business Center Association,,No,Other,,,,https://billpaymentonline.org/palomar-oaks-business-center-association-login-bill-payment-customer-support,Yes,I don't know what the objective is. No website
PVT_PVT_Pardee Homes,"We’re in the life-changing business, dedicated to designing homes, neighborhoods and experiences that inspire and uplift our customers, our team members and the communities we serve.",Yes,Cultural,,,,"https://www.tripointegroup.com/about-us/#:~:text=operational%20excellence%20initiatives.-,Our%20Mission,and%20the%20communities%20we%20serve.",Yes,Changed name
PVT_PVT_Park Paseo Homeowners Association,,No,Cultural,,,,https://parkpaseoirvine.com/,,
PVT_PVT_Park Place Homeowners Association,,No,Cultural,,,,https://parkplacecardiff.com/,,
PVT_PVT_Parkside Community Association,,No,Cultural,,,,http://www.parksideca.com/0,,
PVT_PVT_Paseo Westpark Maintenance Association,,No,Cultural,,,,"https://www.causeiq.com/organizations/paseo-westpark-maintenance-association,330589669/",,
PVT_PVT_Paseo del Sol Master Association,,No,Cultural,,,,https://www.paseodelsolhoa.com/,,
PVT_PVT_Petco Park Owner,,No,Recreation/parks/Trails/greenways,,,,https://corporate.petco.com/index.php?s=20296,,
PVT_PVT_Pinecrest Community Association,,No,Cultural,,,,https://pinecrestmv.com/,,
PVT_PVT_Poco Lago Homeowners Association,,No,Cultural,,,,https://opencorporates.com/companies/us_ca/C2130600,,
PVT_PVT_Poinsettia Heights Homeowners Association,,No,Cultural,,,,https://www.neighborhoods.com/poinsettia-heights-carlsbad-ca,,
PVT_PVT_Ponderosa Country Homeowners Association,,No,Cultural,,,,https://www.ponderosacountry.org/,,
PVT_PVT_Private Landowner,,,,,,,,Yes,N/A organization
PVT_PVT_Quail Canyon Estates,,,,,,,,Yes,Could not find organization
PVT_PVT_Quail Hill Community Association,,No,Cultural,,,,https://quailhillcommunity.connectresident.com/,,
PVT_PVT_Ranch at Carlsbad Homeowners Association,,No,Cultural,,,,https://hoa-resource.com/the-ranch-in-carlsbad-homeowners-association-carlsbad-ca/,,
PVT_PVT_Rancho Carrillo Master Association,,No,Cultural,,,,https://ranchocarrillocarlsbad.com/real-estate/hoa/,,
PVT_PVT_Rancho Santa Margarita Landscape and Recreation Corporation,"To perpetuate a positive, reputable and distinct identity for the SAMLARC community while maintaining a reasonable assessment fee.",Yes,Recreation/parks/Trails/greenways,Cultural,,,https://www.samlarc.org/about,,
PVT_PVT_Saltaire at Carlsbad Homeowners Association,,No,Cultural,,,,https://www.homeownerscalifornia.com/saltaire-homeowners-association-carlsbad-ca/,,
PVT_PVT_San Diego Gas & Electric,"to build the cleanest, safest and most reliable energy company in America.",Yes,Energy ,,,,https://www.sdge.com/more-information/community,,
PVT_PVT_San Diego Urban Corps Habitat Services,,No,Wildlife habitat,,,,"https://urbancorpssd.org/habitat-management/#:~:text=The%20Urban%20Corps%20offers%20land,lands%20in%20San%20Diego%20County.",,
PVT_PVT_Sea Cliff Homeowners Association,,No,Cultural,,,,http://www.seacliffhoa.net/wordpress/about/,,
PVT_PVT_Seabright Carlsbad Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1906582,,
PVT_PVT_Seaside Heights Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=2031348,,
PVT_PVT_Serrano Park Community Association,,No,Cultural,Recreation/parks/Trails/greenways,,,https://serranopark.net/community/about-us/,,
PVT_PVT_Shady Canyon Community Association,,No,Cultural,Recreation/parks/Trails/greenways,,,http://www.shadycanyonhoa.org/,,
PVT_PVT_Shorepointe Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1563330,,
PVT_PVT_Sierra Bonita Community Association,,No,Cultural,,,,https://opencorporates.com/companies/us_ca/C0574878,,
PVT_PVT_Southern California Edison,,No,Energy ,,,,https://www.sce.com/about-us/who-we-are,,
PVT_PVT_Standard Pacific Corp.,,No,Other,,,,https://www.encyclopedia.com/books/politics-and-business-magazines/standard-pacific-corporation,Yes,Construction
PVT_PVT_Stonebridge Estates Master Association,,No,Cultural,,,,https://www.facebook.com/StonebridgeEstatesMA/,,
PVT_PVT_Summit at Turtle Ridge Community Association,,No,Cultural,,,,http://www.turtleridgehoa.com/,,
PVT_PVT_Sun Ridge Community Association,,No,Cultural,,,,https://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1862005,,
PVT_PVT_Surf Pointe Homeowners Association,,,,,,,,Yes,Could not find organization
PVT_PVT_Tamarack Point Master Homeowners Association,,No,Cultural,,,,http://www.california-homeowners-associations.com/caboard_list.php?mastertable=california-hoa-p&masterkey1=1291270,,
